accX,accY,accZ,gX,gY,gZ,gyrX,gyrY,gyrZ,mX,mY,mZ,oZ,oX,oY,delta
-0.1927,0.7075,8.3965,0.3144,0.2552,9.7983,0.1271,0.044,0.0635,-8.1,-27.1,-41.9,165.83,-1.32,-1.95,16153
-0.3795,0.0335,11.3928,0.2833,0.2883,9.7983,0.0574,-0.193,0.0391,-8.2,-26.8,-42,165.24,-1.68,-1.66,16256
0.7817,0.425,10.0161,0.3136,0.4237,9.7925,0.2211,0.1698,0.0843,-8.4,-26.9,-42.2,165.38,-2.34,-1.92,16357
0.0946,0.0658,9.7648,0.3344,0.2639,9.7974,-0.1173,0.1747,-0.1148,-8.5,-27,-41.8,165.76,-1.54,-1.95,16460
0.2622,0.1975,9.6043,0.3312,0.2032,9.799,-0.1112,-0.0244,-0.0134,-8.3,-27.1,-42.1,165.87,-1.19,-1.94,16563
-0.018,0.8224,8.0158,0.2599,0.1764,9.8016,0.0098,0.1344,-0.0269,-8.1,-26.8,-42.1,165.88,-1.11,-1.92,16663
0.3699,0.3448,10.4675,0.2101,0.1881,9.8026,-0.099,0.1051,-0.0024,-7.8,-26.6,-42.3,164.99,-1.25,-1.37,16765
0.231,0.5363,9.7205,0.2004,0.3379,9.7988,0.3201,0.121,0.0086,-7.7,-26.5,-42.3,163.77,-1.97,-1.17,16867
0.182,-0.316,12.7731,0.1667,0.3882,9.7975,-0.3861,-0.1405,-0.0941,-7.6,-27,-42.1,163.94,-2.27,-0.97,16969
-0.5243,0.1664,8.9651,0.3466,0.3956,9.7925,0.2932,-0.3238,0.1588,-7.5,-27.2,-42.2,166.7,-1.72,-1.25,17071
0.2059,0.5818,8.8478,0.4347,0.4467,9.7868,-0.0782,0.0892,0.1417,-8.1,-27.5,-42.1,166.25,-2.61,-2.54,17174
0.0144,1.2594,7.8554,0.3513,0.4671,9.7892,0.0232,0.1894,-0.066,-8.5,-27.5,-42.4,166.12,-2.52,-2.44,17275
0.3783,0.8823,10.246,0.2367,0.4717,9.7924,0.0305,0.1148,-0.0611,-8.8,-27.7,-42.4,162.89,-2.76,-1.38,17377
-0.103,0.4154,9.9575,0.3919,0.6063,9.78,0.2309,-0.1026,-0.2517,-8.5,-27.8,-42.3,165.8,-3.07,-2.04,17479
-0.6416,-0.5028,12.0428,0.4628,0.3873,9.7881,-0.2712,0.3616,-0.1833,-8.2,-27.9,-42,167.09,-3.16,-2.89,17582
-0.2634,0.1844,9.8904,0.3461,0.3055,9.7958,-0.033,-0.1307,0.0342,-7.8,-27.7,-41.6,166.28,-1.79,-2.02,17683
0.1317,0.8332,8.2253,0.2374,0.1901,9.8019,-0.0574,0.1405,0.0147,-7.5,-27.4,-42.1,167.81,-1.24,-1.86,17785
0.4154,0.8009,8.4779,0.1073,0.28,9.8021,0.0855,0.2016,-0.0122,-7,-27,-42.5,166.29,-1.36,-0.9,17887
0.1437,0.5902,11.4383,0.0024,0.3934,9.7988,0.2224,-0.1429,0.1368,-6.7,-27.2,-42.6,164.53,-2.3,-0.01,17989
0.3053,-0.1939,10.4686,0.2138,0.5883,9.7867,0.0574,-0.3677,0.1234,-6.6,-27.5,-42.1,164.89,-3.2,-0.48,18092
